id,name,nation,bpr,opr,t4_K,tsl_kN,max_tsl_kN,notes
ws15,涡扇15,中国,0.25,25.5,1841,120.0,156,公开资料：海平面军推约 120 kN、加力 156 kN
ws15i,涡扇15改进,中国,0.25,29.0,1975,129.5,185,公开资料估计；军推按加力×0.70 估计
ws19,涡扇19,中国,0.50,35.0,1850,68.0,118,公开资料估计；军推按歼-35A 最大巡航 Ma 1.47 标定
ws10c,涡扇10C,中国,0.60,30.0,1800,101.5,145,公开资料估计；军推按加力×0.70 估计
ws21,涡扇21,中国,0.68,26.0,1650,69.5,95,公开资料估计；军推按歼-35 最大巡航 Ma 1.12 标定
f119,F119,美国,0.30,26.0,1922,116.0,156,海平面静止军推约 116 kN
f135,F135,美国,0.57,28.0,2260,125.0,191,海平面静止军推约 125 kN
ws10h,涡扇10H,中国,0.60,30.0,1800,89.0,,歼-15 舰用；军推按干推力约 89 kN
f414,F414-GE-400,美国,0.40,30.0,1850,58.0,,Super Hornet；军推约 13 klbf
f404,F404-GE-402,美国,0.34,26.0,1700,47.0,,Hornet；军推约 10.5 klbf
f110,F110-GE-400,美国,0.76,30.7,1700,62.0,,F-14B/D；军推约 13.9 klbf
rd33mk,RD-33MK,俄罗斯,0.49,21.0,1680,53.0,,MiG-29K；军推约 53 kN
m88,M88-2,法国,0.30,24.5,1850,50.0,,阵风；军推约 50 kN
f402,F402-RR-408,美国,1.20,16.0,1400,105.0,,AV-8B Pegasus；矢量涡扇无加力，按 105 kN
